darija,eng,darija_ar
kantsenna fik t tzad flgrad bach tzad lik l5elssa,I'm waiting for you to get a promotion,كانتسنّا فيك ت تزاد فلڭراد باش تزاد ليك لخلصة
kantsenna fik t dawwa bach nsafrou ljbal,I'm waiting for you to heal off to travel,كانتسنّا فيك ت داوّا باش نسافرو لجبال
kantsenna fik t tbate2 bach t3essbou,I'm waiting for you to slow down,كانتسنّا فيك ت الطباطب باش تعصّبو
kantsenna fik t rfed dik de3wa l3erss dialo,I'm waiting for you to refuse the invitation,كانتسنّا فيك ت رفد ديك دعوة لعرسّ ديالو
kantsenna fik t lr5rss dik l9issa wa d5ya,I'm waiting for you to shorten the story,كانتسنّا فيك ت لرخرص ديك لقصة وا دخية
kantsenna fik t seweb tonobil wa tle9na,I'm waiting for you to fix your car,كانتسنّا فيك ت سوڤ تونوبيل وا تلقنا
kantsenna fik t 3tini ta7alil li dert,I'm waiting for you to give me a solution,كانتسنّا فيك ت عطيني تحليل لي درت
kantsenna fik t t3ele9 dik tswira,I'm waiting for you to take off the pic,كانتسنّا فيك ت تعلق ديك تصويرة
kantsenna fik t t9ad dak lavabo.,I'm waiting for you to fix the sink,كانتسنّا فيك ت تقاد داك لافابو.
kantsenna fik t 7eyyed liya snna,I'm waiting for you to take off my tooth,كانتسنّا فيك ت حيّد ليا سنّا
kantsenna fik t kalma chwiya moraha nde7kou,I'm waiting for you to calm down abit,كانتسنّا فيك ت كالمة شوية موراها ندهخو
kantsenna fik t tji m3aya bach ne7tejjou,I'm waiting for you to come with me,كانتسنّا فيك ت تجي معايا باش نحتجّو
kantsenna fik t waazen m3aya l5edma,I'm waiting for you to  balance work,كانتسنّا فيك ت وازن معايا لخدمة
kantsenna fik t bda ts3a 3arfek ma3endek nefss,I'm waiting for you to become a beggar,كانتسنّا فيك ت بدا تسعا عارفك ماعندك نفس
kantsenna fik t tbbetou,I'm waiting for you to fool him,كانتسنّا فيك ت الطبّطو
kantsenna fik t dir fih ti9a,I'm waiting for you to trust him,كانتسنّا فيك ت دير فيه ثقة
kantsenna fik t che33el l3afya,I'm waiting for you to make fire,كانتسنّا فيك ت شعّل لعافية
kantsenna fik t 3awni,I'm waiting for you to  help me,كانتسنّا فيك ت عاوني
kantsenna fik t tdffeg chwiya men dak lma,I'm waiting for you to spill water,كانتسنّا فيك ت الدفّڭ شوية من داك لما
kantsenna fik t jerrni bach nmchi m3ak,I'm waiting for you to take me with you,كانتسنّا فيك ت جرّني باش نمشي معاك
kantsenna fik t dir te7lila ou y5rej demna mtabe9,I'm waiting for you to do a blood sample,كانتسنّا فيك ت دير تحليلة و يخرج دمنا متابق
kantsenna fik t tt3jeb men hadchi li dar walakin sde9ti m3ewwed,I'm waiting for you to be surprised,كانتسنّا فيك ت الثجب من هادشي لي دار و لكن سدقتي معوّد
kantsenna fik t terta7 had l3otla,I'm waiting for you to rest in holidays,كانتسنّا فيك ت ترتاح هاد لعطلة
kantsenna fik t t3ekkes lik had l5edma,I'm waiting for you to  bottle up your job,كانتسنّا فيك ت تعكّس ليك هاد لخدمة
kantsenna fik t ddabz m3a hadak derri,I'm waiting for you to fight off this man,كانتسنّا فيك ت الدبز معا هاداك ديري
kantsenna fik t taf9 m3a dak lbeznass,I'm waiting for you to agree with the businessman,كانتسنّا فيك تا فتافق معا داك لبزناس
kantsenna fik t ttasel blpatron bach t3elmou rah 5at5yeb,I'm waiting for you to call your boss,كانتسنّا فيك ت التاسل بلپاترون باش تعلمو راه خاتّعب
kantsenna fik t 5iyyer l2a7ssen,I'm waiting for you to become better,كانتسنّا فيك ت حير لأحسن
kantsenna fik t 5tar chi cho3ba de5ya,I'm waiting for you to choose a game,كانتسنّا فيك ت عطار شي شعبة دخيا
kantsenna fik t ado9 had l7elwa raha 7amda bezzaf,I'm waiting for you to taste the cake,كانتسنّا فيك ت أدوق هاد لحلوا راها حامدة بزّاف
kantsenna fik t tmtatel ldkchi li kangoulou,I'm waiting for you to do what i say,كانتسنّا فيك ت تمتاتل لدكشي لي كانڭولو
kantsenna fik t ste5rej dkchi li talbou mena tamrin,I'm waiting for you to  solve this exercice,كانتسنّا فيك ت ستخرج دكشي لي طلبو منا التمرين
kantsenna fik t 3aaredni rani 7afdek,I'm waiting for you to object me,كانتسنّا فيك ت عاردني راني حافضك
kantsenna fik t chedd dak chffar,I'm waiting for you to catch the thief,كانتسنّا فيك ت شدّ داك شفّار
kantsenna fik t tze3lel de5ya bach nzidou,I'm waiting for you to swing,كانتسنّا فيك ت تزعل دخيا باش نزيدو
kantsenna fik t sellem 3lina,I'm waiting for you to salute us,كانتسنّا فيك ت سلّم علينا
kantsenna fik t waajeh dak rajel li 9tel walidik,I'm waiting for you to fight off the killer,كانتسنّا فيك ت واجه داك راجل لي قتل واليديك
kantsenna fik t byen liya,I'm waiting for you to show me,كانتسنّا فيك ت بيان ليا
kantsenna fik t tsme7 dik l7ala li mdayr,I'm waiting for you to do what i suggested,كانتسنّا فيك تسمح ديك لحالة لي مدير
kantsenna fik t doble dik l5edma li 5assek dirha,I'm waiting for you to double your job,كانتسنّا فيك ت دوبل ديك لخدمة لي عاصك ديرها
kantsenna fik t l9a chi 3erd wa3er,I'm waiting for you to find a better offer,كانتسنّا فيك ت لقا شي عرض واعر
kantsenna fik t mchi l7erb be3da tmout chhid,I'm waiting for you to fight in the war and to die as a martyr,كانتسنّا فيك ت مشي لحرب بعدا تموت شهيد
tanfkker wach ndaaf3 3lih,I'm wondering if I protect him,تانفكّر واش ندافع عليه
tanfkker wach kayn chi far mkhebbi hna.,I'm thinking of a hidden rat here,تانفكّر واش كاين شي فر مخبّي هنا.
tanfkker wach fayt chtarket f had lblassa,I'm thinking I did participate in this place,تانفكّر واش فيت شتاركت ف هاد لبلاصة
tanfkker wach khassni n3lmou l assasiat 9bl manmchi,I'm thinking if we need to learn the basics before we go,تانفكّر واش خاصني نعلمو ل أساسيات قبل مانمشي
tanfkker wach 7ssn lihoum tla9,I'm thinking if the divorce is better for them,تانفكّر واش حسّن ليهوم تلاق
tanfkker wach nsayb lghda oula nchrih,I'm thinking to buy or prepare lunch,تانفكّر واش نصايب لغدا أولا نشريه
tanfkker wach had tchwich ay7bss,I'm thinking of shutting my brain off,تانفكّر واش هاد تشويش أيحبسّ
tanfkker wach ay9lbou 3lia ila twedert,I'm thinking if they will look for me if i wandered,تانفكّر واش أيقلبو عليا إيلا توردرت
tanfkker wach had lktab kistahel n9rah,I'm thinking if this book is worth reading,تانفكّر واش هاد لكتاب كيستاهل نقراه
tanfkker wach had lfilm kistahel ntfrj fih.,I'm thinking if this movie is worth watching,تانفكّر واش هاد لفيلم كيستاهل نتفرج فيه.
tanfkker wach had lmosalsal kistahel nbdah.,I'm thinking if this show is worth watching,تانفكّر واش هاد لمسلسل كيستاهل نبداه.
tanfkker wach stylo maghayt9adach lih l7ibr dialou.,I'm thinking to burn my house,تانفكّر واش ستيلو ماغايتقداش ليه لحبر ديالو.
tanfkker wach atch3l l3afia f bad dar,I'm thinking if i burn my house,تانفكّر واش أتشعل العافية ف باد دار
tanfkker wach nskoun f had derb,I'm thinking to live in this neighbor,تانفكّر واش نسكون ف هاد درب
tanfkker wach n9dr ndkhol l had lmdrassa,I'm thinking if i can join this school,تانفكّر واش نقدر ندخل ل هاد لمدرسة
tanfkker wach had syed ay9dr it3alej,I'm thinking if this man could heal up,تانفكّر واش هاد سيد أيقدر يتعالج
tanfkker wach ay3jbhoum had lfilm,I'm thinking if they will like this film,تانفكّر واش أيعجبهوم هاد لفيلم
tanfkker wach lmti7an aytserreb,I'm thinking if the exam will be leaked,تانفكّر واش لامتحان أيتسرّب
tanfkker wach nretteb dar lyouma,I'm thinking if i can clean the house today,تانفكّر واش نرّطب دار ليوما
tanfkker wach ayjini lberd b had l7wayej,I'm thinking if i can catch cold,تانفكّر واش أيجيني لبرد ب هاد لحوايج
tanfkker wach ch7al dial lwe9t aydi lia had stok,I'm thinking how much time it took me to find this place.,تانفكّر واش شحال ديال لوقت أيدي ليا هاد ستوك
tanfkker wach had lwerd maghaymoutvh dghia,I'm thinking if this color will fade quickly.,تانفكّر واش هاد لورد ماغايموتڤه دغيا
tanfkker wach had lb7r msmou7 fih l3ouman,I'm thinking if this sea is safe for swimming.,تانفكّر واش هاد لبحر مسموح فيه لعومان
tanfkker wach ghade itchebbet bl9arar dialou,I'm thinking if it will rain tomorrow.,تانفكّر واش غادي يتشبّت بلقرار ديالو
tanfkker wach wslatou da3wa l 3rss,I'm thinking if he received the wedding invitation.,تانفكّر واش وصلاتو دعوة ل عرس
tanfkker wach aywgf f had lma7ata,I'm thinking if he will arrive on time.,تانفكّر واش أيوڭف ف هاد لمحطة
tanfkker ch7al dial lw9t ayakhdou had had lboitat bach nkhwihoum,I'm thinking how much time they will take to clean this room.,تانفكّر شحال ديال لوقت أياخدو هاد هاد لبويتات باش نخويهوم
tanfkker wach ayt7emmel lbrd,I'm thinking if it will snow.,تانفكّر واش أيتحمّل لبرد
tanfkker wach had liziat kisem3ou mzyan.,I'm thinking if this recipe will taste good.,تانفكّر واش هاد ليزيات كيسمعو مزيان.
tanfkker wach n9dr ntlb l oustad izidni no9at,I'm thinking if I can ask the teacher for more marks.,تانفكّر واش نقدر نطلب ل أستاد إزيدني نقط
tanfkker wach aykhrjou nata2ij had jem3a,I'm thinking when the results of this exam will be announced.,تانفكّر واش أيخرجو نتائج هاد جمعة
tanfkker imta ay3tiwni l ja2iza diali,I'm thinking when I will receive my prize.,تانفكّر إمتا أيعطيوني ل جائزة ديالي
tanfkker wach nbllegh lbouliss,I'm thinking if I can reach the bus.,تانفكّر واش نبلّغ لبوليس
tanfkker wach t9t3 do,I'm thinking if it will rain tomorrow.,تانفكّر واش تقتع دو
tanfkker wach t9t3 lma,I'm thinking if it will rain today.,تانفكّر واش تقتع لما
tanfkker wach cheddou nass li ghechou flmti7an,I'm thinking who saw me dancing.,تانفكّر واش شدّو ناسّ لي غشو فلامتحان
tanfkker wach had sbagha dghia kat9chher,I'm thinking if this color will fade quickly.,تانفكّر واش هاد الصباغة دغيا كاتقشّر
tanfkker wach fekkerti f l akhtar dial had lou3ba,I'm thinking if you looked for the mistakes,تانفكّر واش فكّرتي ف ل أختار ديال هاد لوعبة
tanfkker wach had lmoraja3a kafya,I'm thinking if this revision suffice,تانفكّر واش هاد لمراجعة كافية
tanfkker wach lmo9araba atkoun sahla,I'm thinking if exam will be easy,تانفكّر واش لمقاربة أتكون ساهلة
tanfkker wach nrejje3 had lkswa,I'm thinking if returning this dress,تانفكّر واش نرجّع هاد لكسوة
tanfkker wach had lmes2ala sahla,I'm thinking if this problem is easy,تانفكّر واش هاد لمسألة ساهلة
tanfkker wach i9dr isog f lvirajat,I'm thinking if he can drive well,تانفكّر واش إقدر إسوڭ ف لڤيراجات
tanfkker wach ay9dr isayb charika.,I'm thinking if he can make a company,تانفكّر واش أيقدر إيسايب شركة.
tanfkker wach khass ngleb tri9,I'm thinking if i should change the road,تانفكّر واش خاصّ نڭلب طريق
tanfkker wach had tran sari3,I'm thinking if this train is fast,تانفكّر واش هاد التران سريع
tanfkker wach khass nstetmer f had lmchrou3,I'm thinking if i should invest in this project,تانفكّر واش خاصّ نستتمر ف هاد لمشروع
tanfkker imta atbda tkhwa dnya,I'm thinking if this place will be empty,تانفكّر إمتا أتبدا تخوا دنيا
tanfkker wach kayna chi w9ita kisaliw fiha.,I'm thinking if there is a time when it gets empty,تانفكّر واش كاينا شي وقيتا كيساليو فيها.
tanfkker wach hadche ayban wade7.,I'm thinking if this will look clear,تانفكّر واش هادش أيبان واضح.
tanfkker wach had lblassa khassa b chi wa7d,I'm thinking if this place is for someone else,تانفكّر واش هاد لبلاصة خاصة ب شي واحد
tanfkker wach ay wa7d i9dr idkhol hnaya.,I'm thinking if anyone can enter here,تانفكّر واش أي واحد إقدر إدخل هنايا.
tanfkker wach anrb7 had ta7adi.,I'm thinking if i can win this challenge,تانفكّر واش أنربح هاد التحدي.
tanfkker wach had lja2iza katstahel.,I'm thinking if this prize deserveful,تانفكّر واش هاد لجائزة كاتستاهل.
tanfkker wach at3jbhoum had lmoufaja2a.,I'm thinking if they will like the surprise,تانفكّر واش أتعجبهوم هاد لموفاجأة.
tanfkker wach atsd9 lia lmoufaja2a.,I'm thinking if they surptise will be successful,تانفكّر واش أتسدق ليا لموفاجأة.
tanfkker wach atnj7 lia lkhota diali,I'm thinking if my plan will work,تانفكّر واش أتنجح ليا لخطة ديالي
tanfkker wach dak lmoujrim aycheddouh dghia,I'm thinking if they will catch the killer,تانفكّر واش داك لموجريم أيشدّوه دغيا
tanfkker wach nass ayt3awnou m3ah,I'm thinking if they will help him,تانفكّر واش ناسّ أيتعاونو معاه
tanfkker wach khass nzid sokkar,I'm thinking if i should add more suggar,تانفكّر واش خاصّ نزيد سكّار
tanfkker wach nt7ewel mn had derb.,I'm thinking if i should hit fast,تانفكّر واش نتحاول من هاد الدرب.
tanfkker wach had l9arar s7i7,I'm thinking if this decision is correct,تانفكّر واش هاد لقرار صحيح
tanfkker wach safi khass n7bess,I'm thinking if i should stop,تانفكّر واش صافي خاصّ نحبّس
tanfkker wach n3ss daba,I'm thinking if i should sleep now,تانفكّر واش نعسّ دابا
tanfkker wach ndkhol m3ahoum f nfss lw9ita,I'm thinking if should go at the same time,تانفكّر واش ندخل معاهوم ف نفسّ لوقيتا
tanfkker wach n7essen lyouma,I'm thinking if i should get a haircut,تانفكّر واش نحسّن ليوما
tanfkker wach ngabel gha 9rayti lyouma,I'm thinking if i should study today,تانفكّر واش نڭابل غا قرايتي ليوما
tanfkker wach nchri lih cadeau,I'm thinking if i should buy him a gift,تانفكّر واش نشري ليه كادو
tanfkker wach nchri chargeur jdid,I'm thinking if i should buy a new charger,تانفكّر واش نشري شارجور جديد
tanfkker wach ansali had lba7t lyouma,I'm thinking if i should finish my homework,تانفكّر واش أنسالي هاد لبحث ليوما
tanfkker wach i9dr i3awni f had lkhdma,I'm thinking if he could help me,تانفكّر واش إقدر إعاوني ف هاد لخدمة
tanfkker wach ghade ystow3eb chnou kangoulih,I'm thinking if he could get me,تانفكّر واش غادي يستوعب شنو كانڭوليه
tanfkker wach ay9dr it3lm had cht7a,I'm thinking if he could learn,تانفكّر واش أيقدر إتعلم هاد شتحا
tanfkker wach ay9dr ifi9 bkri,I'm thinking if he could wake up early,تانفكّر واش أيقدر إفيق بكري
tanfkker wach slla flw9t,I'm thinking if he prayed,تانفكّر واش سلّا فلوقت
tanfkker wach telephone ayched lia charge,I'm thinking if phone will be charged,تانفكّر واش تليفون أيشد ليا شارج
tanfkker wach marka flmatch,I'm thinking if he scored during the game,تانفكّر واش ماركة فلماتش
tanfkker wach zle9 f l piscine,I'm thinking if swam in the pool,تانفكّر واش زلق ف ل پيسسين
tanfkker wach rtakbt moukhalafa,I'm thinking if i commited a felony,تانفكّر واش رتاكبت مخلفة
tanfkker wach chdni radar,I'm thinking if the radar catched me,تانفكّر واش شدني رادار
tanfkker wach ayb3d mni,I'm thinking if he will leave me alone,تانفكّر واش أيبعد مني
tanfkker wach ay3drni,I'm thinking if he will excuse me,تانفكّر واش أيعدرني
tanfkker wach ayfesser lia dkchi li ma7drtch lih,I'm thinking if he will explain,تانفكّر واش أيفسّر ليا دكشي لي ماحدرتش ليه
tanfkker wach aykhroj chi balagh rassmi,I'm thinking if he will anticipate,تانفكّر واش أيخروج شي بالغ رسمي
tanfkker wach aytla9aw f tri9,I'm thinking if he will meet me,تانفكّر واش أيتلاقاو ف طريق
tanfkker wach aybghi in9ss lih taman,I'm thinking if he will reduce the price,تانفكّر واش أيبغي إنقص ليه التمان
tanfkker wach ay7el lia lbab,I'm thinking if he will open the door for me,تانفكّر واش أيحل ليا لباب
tanfkker wach at3jbou had smya,I'm thinking if he will like this name,تانفكّر واش أتعجبو هاد السمية
tanfkker wach aykoun kitjebed had lizar,I'm thinking if he will find a good sheet,تانفكّر واش أيكون كيتجبد هاد ليزار
tanfkker wach ayt9elle9 mni,I'm thinking if he will be angry at me,تانفكّر واش أيتقلّق مني
tanfkker wach ayt2e88ellou l final,I'm thinking if they will qualify for the finals,تانفكّر واش أيتقهّلّو ل فينال
tanfkker wach aykhsserou f had lmatch,I'm thinking if they will lose the match,تانفكّر واش أيخسّرو ف هاد لماتش
tanfkker wach tle9ou lia connexion,I'm thinking if connextion is working again,تانفكّر واش تلقو ليا الكونيكسيو
tanfkker wach nsbegh ch3ri,I'm thinking if i dye my hair,تانفكّر واش نسبغ شعري
tanfkker wach n7edded sor3a,I'm thinking if fix the speed,تانفكّر واش نحدّد صرعة
tanfkker wach ghadi nched lmin7a had l3am,I'm thinking if i wll get funding this year,تانفكّر واش غادي نشد لمنحة هاد لعام
tanfkker wach ntsellef mn lbanka,I'm thinking if i will get a loan from the bank,تانفكّر واش نتسلّف من لبانكا
tanfkker wach ay9dni lw9t bach nl79 ljtima3,I'm thinking i will find sufficient time to be in the meeting,تانفكّر واش أيقدني لوقت باش نلحق لجتماع
tanfkker wach tafa3oul aykoun mzyan,I'm thinking if the interaction will be good,تانفكّر واش تفاعول أيكون مزيان
tanfkker wach ayrj3ou lyouma,I'm thinking if they will come back today,تانفكّر واش أيرجعو ليوما
kantsenna fik t 5ress ga3 had l5edra,I'm waiting for you to curse,كانتسنّا فيك ت حرص ڭاع هاد لقدرة
kantsenna fik t jzem liya an hadchi s7i7,I'm waiting for you to confirm this,كانتسنّا فيك ت جزم ليا أن هادشي صحيح
kantsenna fik t kchef liya sir li m5ebh 3liya moudda hadi,I'm waiting for you to expose a secret,كانتسنّا فيك ت كشاف ليا سير لي مخبه عليا مدة هادي
kantsenna fik t 3ser dak dissir,I'm waiting for you to make a juice,كانتسنّا فيك ت عصر داك ديسّير
kantsenna fik t rbet l7boula dial nchir,I'm waiting for you to tie rope,كانتسنّا فيك ت ربط لحبولة ديال نشير
kantsenna fik t 2aadi douk l5aramat li 3endek,I'm waiting for you to hurt her,كانتسنّا فيك ت أدي دوك لخرامات لي عندك
kantsenna fik t tla9a m3a sa7bek,I'm waiting for you to meet your friends,كانتسنّا فيك ت تلاقا مع صاحبك
kantsenna fik t tlebni 3ada ngoulik ah,I'm waiting for you to ask me ,كانتسنّا فيك ت تلبني عادا نڭوليك أه
kantsenna fik t 3aani 3ada nselfek,I'm waiting for you to suffer,كانتسنّا فيك ت عاني عادا نصلفك
kantsenna fik t 3ref 7e99 derhem,I'm waiting for you to appreciate money,كانتسنّا فيك ت عرف حقّ ديرهم
kantsenna fik t 5ebba ou twli dima 7echman menni,I'm waiting for you to hide,كانتسنّا فيك ت حبّا و تولي ديما حشمان منّي
kantsenna fik t 5ddem chi we7din ykechtouk kamel,I'm waiting for you to work a good job,كانتسنّا فيك ت حدّم شي واحدين يكشتوك كامل
kantsenna fik t t3awen dak rajel kbir,I'm waiting for you to help this old man,كانتسنّا فيك ت تعاون داك راجل كبير
kantsenna fik t sre7 che3rek kijik 7ssen msere7,I'm waiting for you to make your hair,كانتسنّا فيك ت سرح شعرك كيجيك حسّن مسرح
kantsenna fik t 3ber had tri9,I'm waiting for you to cross the road,كانتسنّا فيك ت عبر هاد طريق
kantsenna fik t tzaamn dak lmaw3id fchi we9t 5awi,I'm waiting for you to select a free time,كانتسنّا فيك تازمن داك لموعد فشي وقت خاوي
kantsenna fik t tni sba3 dial rejlik bhad tari9a,I'm waiting for you to do a finger trick,كانتسنّا فيك ت تني سباع ديال رجليك بهاد طريقة
kantsenna fik t nddem we9tek 3ada n3awnek dir flouss,I'm waiting for you to organize your time,كانتسنّا فيك ت ندم وقتك عادا نعاونك دير فلوس
kantsenna fik t n9ed chi wliyed s5iwer men lmout,I'm waiting for you to help someone fro mdeath,كانتسنّا فيك ت نقد شي وليد سخيور من لموت
kantsenna fik t rffeh 3la jdatek li mrid,I'm waiting for you to laugh with your sick grandam,كانتسنّا فيك ت الرفّه على جداتك لي مريض
kantsenna fik t twe99e3 chi 7aja ou tw9e3,I'm waiting for you to predict something,كانتسنّا فيك ت توقّع شي حاجة و توقع
kantsenna fik t f7es rassek,I'm waiting for you to examinate yourself,كانتسنّا فيك ت فحس راسّك
kantsenna fik t sdder douk lou3ab berra,I'm waiting for you to exportate toys,كانتسنّا فيك ت سدّر دوك لوعاب برّا
kantsenna fik t le77 3liya bach n9bel,I'm waiting for you to ask me ,كانتسنّا فيك ت لحّ عليا باش نقبل
kantsenna fik t stentej dkchi li 5assou ystentej fhad temrin,I'm waiting for you to conclude ,كانتسنّا فيك ت ستنتج دكشي لي خاسّو يستنتج فهاد تمرين
kantsenna fik t sed l9fel dial lakour moraha n5erjou,I'm waiting for you to lock the locker,كانتسنّا فيك ت سد لقفل ديال لاكور موراها نخرجو
kantsenna fik t 3red 3liya bach nmchi ldarek jdida,I'm waiting for you to invite me,كانتسنّا فيك ت عرض عليا باش نمشي لدارك جديدة
kantsenna fik t mout fhad sehd 3arefk ma3endekch m3ah,I'm waiting for you to feel the heat,كانتسنّا فيك ت موت فهاد صد عارفك ماعندكش معاه
kantsenna fik t deffi rassek,I'm waiting for you to warm yourself,كانتسنّا فيك ت دفّي راسّك
kantsenna fik t 3tarf bl7a9i9a,I'm waiting for you to confess,كانتسنّا فيك ت عطرف بلحقيقة
kantsenna fik t tmmer bchi 7aja s3iba bach n3awnek,I'm waiting for you to ask for my help,كانتسنّا فيك ت تمّر بشي حاجة صعيبة باش نعاونك
kantsenna fik t tselle9 dik chejra dial tout,I'm waiting for you to climb the tree,كانتسنّا فيك تسلّق ديك شجرة ديال توت
kantsenna fik t 5ssel snanek chi nhar rak dima hamelhom,I'm waiting for you to brush your teeth,كانتسنّا فيك ت حسّ سنانك شي نهار راك ديما هاملهوم
kantsenna fik t ntej had new3 dial dissir,I'm waiting for you to produce this product,كانتسنّا فيك ت نتج هاد نوع ديال ديسّير
kantsenna fik t 5de3 dak nessab,I'm waiting for you to fool this scammer,كانتسنّا فيك ت عد داك نصاب
kantsenna fik t bherni bhad l5od3a,I'm waiting for you to suprise me with this trick,كانتسنّا فيك ت بهدني بهاد لقدعة
kantsenna fik t nezel taman dial de5la lhad la piscine,I'm waiting for you to lower the price of entry,كانتسنّا فيك ت نزل تامان ديال دخلة لهاد لا پيسسين
kantsenna fik t frek 7wayjek msian,I'm waiting for you to wash off your clothes,كانتسنّا فيك ت فريك حوايجك مسيان
kantsenna fik t wkkel douk tyour,I'm waiting for you to feed the birds,كانتسنّا فيك ت وكّل دوك طيور
kantsenna fik t towwer men rassek ou twli gad,I'm waiting for you to improve yourself,كانتسنّا فيك ت توّر من راسّك و تولي ڭاد
kantsenna fik t wzze3 floussek 3la lfou9ara,I'm waiting for you to give off to the poor,كانتسنّا فيك ت وزّع فلوسّك على لفوقارة
kantsenna fik t me3na 3liya,I'm waiting for you to insult me,كانتسنّا فيك ت معنا عليا
kantsenna fik t 5elles ltraita li tab3ak,I'm waiting for you to pay your debts,كانتسنّا فيك ت 5لّس لطرايتا لي تابعاك
kantsenna fik t rjje3 floussek li 5ssertihom,I'm waiting for you to carry the project,كانتسنّا فيك ت الرجع فلوسّك لي عصرتيهوم
kantsenna fik t n9ess men dkchi li kat5essrou 3la had lmechro3,I'm waiting for you to stop losing money,كانتسنّا فيك ت نقصّ من دكشي لي كات5سّرو على هاد لمشروع
kantsenna fik t w99ef had lmechro3,I'm waiting for you to stop this project,كانتسنّا فيك ت وقّف هاد لمشروع
kantsenna fik t chkkel chi taba9 zwin dial l7elwa,I'm waiting for you to make a good plate,كانتسنّا فيك ت شكّل شي طبق زوين ديال لحلوا
kantsenna fik t z3ej deri bach tenta9em,I'm waiting for you to avenge,كانتسنّا فيك ت زعج ديري باش تنتاقم
kantsenna fik t tfoutou,I'm waiting for you to surpass him,كانتسنّا فيك ت تفوتو
kantsenna fik t t9ddem rassek lih,I'm waiting for you to give yourself up,كانتسنّا فيك ت تقدّم راسّك ليه
kantsenna fik t kerres 9ima lwalidik,I'm waiting for you to appreciate your parents,كانتسنّا فيك ت كرّس قيمة لواليديك
kantsenna fik t stafezz dak le3ab bach yl5eb msian,I'm waiting for you to provoke this player,كانتسنّا فيك ت ستافزّ داك لعياب باش يل5ب مسيان
kantsenna fik t tem2eni men jiht bak,I'm waiting for you to help me,كانتسنّا فيك ت تمني من جيهت باك
kantsenna fik t 7dder liya chi plato dial lbeyd beldi,I'm waiting for you to make me a good meal,كانتسنّا فيك ت حدّر ليا شي پلاتو ديال لبيض بلدي
kantsenna fik t tfa3el chwiya m3a ljomhor ou t7emmeshom,I'm waiting for you to interact with the fans,كانتسنّا فيك ت تفاعل شوية معا الجمهور و تحمّشوم
kantsenna fik t btaker chi 7aja wa3ra y5de biha cha3b,I'm waiting for you to invent something good,كانتسنّا فيك ت بتاكر شي حاجة واعرة يخد بيها شاعب
kantsenna fik t 7kem had lblad ta3isa,I'm waiting for you to rule this poor country,كانتسنّا فيك ت حكم هاد لبلاد تاعيسا
kantsenna fik t 3aan9 l2islam ou nchouf kifach 5atbe3ou,I'm waiting for you to convert to islam,كانتسنّا فيك ت عانق لأسلام و نشوف كيفاش خاطبعو
kantsenna fik t 3ezzini walakin ma3e9tich brassek,I'm waiting for you to pay your respect,كانتسنّا فيك ت عزّيني و لكن ماعقتيش براسّك
kantsenna fik t 9ad chi lebssa bhad le3bar,I'm waiting for you to make a good spot,كانتسنّا فيك ت قاد شي لبسّا بهاد لعبار
kantsenna fik t zid ftaman 3ada ana ndir solde,I'm waiting for you to increase the price,كانتسنّا فيك ت زيد فتمن عادا أنا ندير سولد
kantsenna fik t ttekka fhadak sdari lmori7,I'm waiting for you to lean on the bed,كانتسنّا فيك ت تكّا فهاداك صداري لمريح
kantsenna fik t tbbe9 dak l9anoun,I'm waiting for you to apply the law,كانتسنّا فيك ت الطبّق داك لقانون
kantsenna fik t 7ress dak lkelb,I'm waiting for you to guard the dog,كانتسنّا فيك ت حرص داك لكلب
kantsenna fik t dreb dewra belkelb,I'm waiting for you to go with the dog,كانتسنّا فيك ت درب دورة بلكلب
kantsenna fik t rtabet m3a chi w7da ou t7ess bl3aa9a,I'm waiting for you to be in a relationship,كانتسنّا فيك ت الرتبة معا شي وحدة و تحسّ بلعقا
kantsenna fik t fekker fdik l9tila ou tfekker dkchi li w9e3,I'm waiting for you to think about the crime,كانتسنّا فيك ت فكّر فديك لقتيلة و تفكّر دكشي لي وقع
kantsenna fik t taabr bach tfre7 walidik,I'm waiting for you to make your parents happy,كانتسنّا فيك ت تابر باش تفرح واليديك
kantsenna fik t 7eyyi bak 3la l5edma li darha had l3am,I'm waiting for you to appreciate your parent effort,كانتسنّا فيك ت حيّي باك على ل5دمة لي دارها هاد لعام
kantsenna fik t dmme3 3arfek ma5at7emelch lmot dial bak,I'm waiting for you to cry for your dad's death,كانتسنّا فيك ت دمّع عارفك ماخاتحملش لموت ديال باك
kantsenna fik t taared dak cheffar,I'm waiting for you to cross this thief,كانتسنّا فيك تاارد داك شفّار
kantsenna fik t fsed ra bayna fik wld l7ram,I'm waiting for you to do prostitution,كانتسنّا فيك ت فسد را باينا فيك ولد لحرام
kantsenna fik t ster rassek matsnach walidik ch7al t3edbou 3la 9eblek,I'm waiting for you to be patient and support your parents,كانتسنّا فيك ت ستر راسّك ماتسناش واليديك شحال تعدبو على قبلك
kantsenna fik t baark liya 7it nje7t,I'm waiting for you to congratualte me,كانتسنّا فيك ت باارك ليا حيت نجحت
kantsenna fik t 5tare9 dak site,I'm waiting for you to hack that website,كانتسنّا فيك ت عطارق داك سيت
sir 3end l7lla9,go to the barber,سير عند الحلاق
sir l7mmam,go to the bath,سير الحمام
sir dffa3 dossi diali,go to submit my file,سير دفاع دوسّي ديالي
sir 3tarf bl7a9i9a,go and confess,سير عطرف بالحقيقة
